Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
La rivoluzione dei garofani,"R. Natália Correia 11, 1170-270 Lisboa, Portogallo",38.7208884,-9.129495499999999,,,
Favole,"R. Natália Correia 10, 1170-166 Lisboa, Portogallo",38.7209616,-9.1290438,,,
